filename,width,height,class,xmin,ymin,xmax,ymax
8.jpg,132,210,Right Hand,92,128,123,162
8.jpg,132,210,Face,53,44,106,83
8.jpg,132,210,Hat,36,2,132,59
8.jpg,132,210,Left Arm,13,69,50,119
8.jpg,132,210,Right Arm,94,80,120,138
8.jpg,132,210,Bodyprint,29,71,104,144
8.jpg,132,210,Left Leg,15,126,62,200
8.jpg,132,210,Right Leg,50,137,94,208
80.jpg,213,132,Hat,160,6,210,100
80.jpg,213,132,Face,131,27,176,82
80.jpg,213,132,Left Arm,78,13,129,42
80.jpg,213,132,Right Arm,89,84,141,122
80.jpg,213,132,Left Hand,49,11,83,41
80.jpg,213,132,Right Hand,63,99,98,130
80.jpg,213,132,Left Leg,1,37,75,80
80.jpg,213,132,Right Leg,7,70,81,114
81.jpg,134,205,Left Hand,9,124,39,154
81.jpg,134,205,Right Hand,101,111,132,144
81.jpg,134,205,Left Arm,14,79,43,133
81.jpg,134,205,Right Arm,81,67,123,116
81.jpg,134,205,Left Leg,35,133,85,204
81.jpg,134,205,Right Leg,72,126,121,198
81.jpg,134,205,Hat,5,3,101,55
81.jpg,134,205,Face,29,41,83,79
81.jpg,134,205,Bodyprint,29,72,109,138
83.jpg,133,211,Hat,4,2,96,55
83.jpg,133,211,Face,27,42,83,81
83.jpg,133,211,Left Arm,10,80,38,133
83.jpg,133,211,Right Arm,78,71,124,120
83.jpg,133,211,Bodyprint,28,75,103,140
83.jpg,133,211,Left Hand,6,125,37,155
83.jpg,133,211,Right Hand,97,114,131,148
83.jpg,133,211,Left Leg,29,135,80,207
83.jpg,133,211,Right Leg,67,131,120,204
84.jpg,132,178,No Head,80,9,117,49
84.jpg,132,178,Left Hand,15,53,47,87
84.jpg,132,178,Right Hand,93,96,128,130
84.jpg,132,178,Left Arm,28,28,68,67
84.jpg,132,178,Right Arm,102,54,126,108
84.jpg,132,178,Left Leg,6,79,63,157
84.jpg,132,178,Right Leg,38,92,96,174
84.jpg,132,178,Bodyprint,36,28,118,109
85.jpg,147,204,Hat,59,3,144,65
85.jpg,147,204,Left Arm,18,61,65,107
85.jpg,147,204,Right Arm,95,85,121,144
85.jpg,147,204,Left Hand,4,91,34,124
85.jpg,147,204,Right Hand,84,131,117,168
85.jpg,147,204,Bodyprint,28,66,105,143
85.jpg,147,204,Left Leg,3,112,54,186
85.jpg,147,204,Right Leg,35,130,90,202
86.jpg,163,199,Hat,4,3,90,65
86.jpg,163,199,Face,30,36,84,79
86.jpg,163,199,Left Arm,35,86,62,136
86.jpg,163,199,Left Hand,26,127,61,156
86.jpg,163,199,Right Hand,109,101,142,133
86.jpg,163,199,Right Arm,82,63,132,107
86.jpg,163,199,Left Leg,62,131,117,198
86.jpg,163,199,Right Leg,99,121,157,188
86.jpg,163,199,Bodyprint,39,71,117,137
88.jpg,142,212,Hat,6,2,103,55
88.jpg,142,212,Face,30,45,89,79
88.jpg,142,212,Left Arm,12,80,40,132
88.jpg,142,212,Right Arm,84,69,128,117
88.jpg,142,212,Left Hand,9,125,42,156
88.jpg,142,212,Right Hand,104,113,136,146
88.jpg,142,212,Bodyprint,27,72,108,140
88.jpg,142,212,Left Leg,35,136,82,207
88.jpg,142,212,Right Leg,72,131,120,201
89.jpg,133,191,Face,17,6,72,62
89.jpg,133,191,Bodyprint,26,55,104,123
89.jpg,133,191,Right Arm,74,50,114,91
89.jpg,133,191,Left Arm,13,69,44,111
89.jpg,133,191,Left Hand,7,104,38,131
89.jpg,133,191,Left Leg,40,115,95,189
89.jpg,133,191,Right Leg,73,104,130,178
9.jpg,136,211,Hat,46,4,136,62
9.jpg,136,211,Face,57,41,110,83
9.jpg,136,211,Left Hand,5,107,34,137
9.jpg,136,211,Left Arm,13,69,53,119
9.jpg,136,211,Right Arm,97,88,125,137
9.jpg,136,211,Left Leg,7,126,57,198
9.jpg,136,211,Right Leg,42,134,88,209
9.jpg,136,211,Bodyprint,28,72,105,146
90.jpg,146,211,Hat,52,4,146,63
90.jpg,146,211,Face,62,39,116,82
90.jpg,146,211,Left Hand,9,105,38,135
90.jpg,146,211,Right Hand,95,135,128,168
90.jpg,146,211,Left Leg,11,125,61,198
90.jpg,146,211,Right Leg,46,134,95,211
90.jpg,146,211,Left Arm,17,68,60,115
90.jpg,146,211,Right Arm,101,88,128,142
90.jpg,146,211,Bodyprint,33,74,116,146
91.jpg,201,169,Hat,128,3,201,82
91.jpg,201,169,Face,123,26,171,80
91.jpg,201,169,Right Hand,95,123,126,158
91.jpg,201,169,Left Arm,57,40,113,78
91.jpg,201,169,Right Arm,113,88,153,136
91.jpg,201,169,Bodyprint,61,49,146,130
91.jpg,201,169,Left Leg,6,81,84,143
91.jpg,201,169,Right Leg,30,114,100,169
94.jpg,135,210,Hat,4,3,98,58
94.jpg,135,210,Left Hand,6,127,39,155
94.jpg,135,210,Right Hand,100,114,133,147
94.jpg,135,210,Left Arm,12,81,36,131
94.jpg,135,210,Right Arm,82,70,124,118
94.jpg,135,210,Bodyprint,29,73,104,137
94.jpg,135,210,Left Leg,33,135,81,207
94.jpg,135,210,Right Leg,70,130,119,201
95.jpg,139,213,Hat,43,3,134,56
95.jpg,139,213,Face,59,42,108,81
95.jpg,139,213,Left Arm,14,68,53,114
95.jpg,139,213,Left Hand,5,109,36,137
95.jpg,139,213,Right Hand,93,132,122,164
95.jpg,139,213,Right Arm,97,83,123,140
95.jpg,139,213,Left Leg,14,130,59,201
95.jpg,139,213,Right Leg,49,135,93,210
95.jpg,139,213,Bodyprint,31,73,106,152
96.jpg,145,151,Left Leg,27,5,96,82
96.jpg,145,151,Right Leg,2,31,68,96
96.jpg,145,151,No Head,104,117,141,150
96.jpg,145,151,Left Hand,93,50,128,83
96.jpg,145,151,Right Hand,24,98,55,127
96.jpg,145,151,Bodyprint,47,64,127,139
98.jpg,178,200,Hat,4,6,77,73
98.jpg,178,200,Face,25,34,76,76
98.jpg,178,200,Bodyprint,43,60,126,139
98.jpg,178,200,Left Arm,38,92,69,145
98.jpg,178,200,Right Arm,87,53,138,90
98.jpg,178,200,Right Hand,127,81,159,110
98.jpg,178,200,Left Leg,75,122,144,197
98.jpg,178,200,Right Leg,103,104,175,177
